case_id,年龄,年龄段,身份定位,评估结论,监护状况,教养方式,认知类型,同伴关系,社区环境,在校表现,法治教育覆盖,内容接触,线上交往行为,财务行为,家庭沟通分,家庭冲突分,冲动易冲动程度,攻击暴力倾向,自我认同问题程度,受不良同伴影响强度,受社区影响强度,逃学旷课频次,法治教育学习效果,上网时间问题程度,深夜上网问题程度,接触有害内容频次,时间管理问题程度,理财观念行为问题程度,情感支持,情绪调节困难程度
Q101,13,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,留守；父母常年不在；父母失业,暴力型教养；传统型(强调规则)；权威型(合理),受同伴影响,加入不良群体；结交不良同伴,社区一般；社区治安较差,长期旷课,按课表开展；偶尔宣传,接触暴力/血腥内容；接触黑灰产信息；主要接触正面/学习资源,被网络欺凌/受害；接触不良社交圈；参与/发起网络欺凌,理财能力良好,2,2,2,2,0,0,0,0,3,2,0,1,2,2,4,1
Q102,12,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,监护人积极参与(保护）；事实无人抚养；单亲,暴力型教养；传统型(强调规则)；溺爱型教养,偶有极端/模糊倾向；敌意价值观,加入不良群体；受同伴影响,社区犯罪频发；社区资源丰富且治安好,经常逃学；偶尔缺课；长期旷课,偶尔宣传,接触诈骗信息；接触色情内容,被网络欺凌/受害,严重财务问题,1,0,0,0,1,0,1,1,4,0,1,0,0,1,5,1
Q103,16,14-16岁,普通学生（略需关注),存在一定风险因素，建议学校与家长加强日常关注,留守；父母失联,传统型(强调规则),无极端倾向；受同伴影响；偶有极端/模糊倾向,加入不良群体；受同伴影响；结交不良同伴,社区犯罪频发；社区治安较差；社区资源贫乏,经常逃学；长期旷课,深度参与/法治活动活跃,接触暴力/血腥内容,参与/发起网络欺凌,严重财务问题,2,3,1,1,3,3,2,2,2,3,1,1,2,2,2,2
Q104,14,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,监护薄弱,忽视型教养；权威型(合理)；暴力型教养,偶有极端/模糊倾向；价值观模糊,结交不良同伴；偶有接触,社区犯罪频发,长期旷课；经常逃学；偶尔逃课/逃学,按课表开展；深度参与/法治活动活跃,接触黑灰产信息,参与/发起网络欺凌,严重财务问题；偶尔冲动消费；存在欠债,1,1,2,0,0,2,0,1,4,0,2,0,2,1,5,1
Q105,13,12-14岁,普通学生（略需关注),存在一定风险因素，建议学校与家长加强日常关注,事实无人抚养；留守,暴力型教养；忽视型教养,偶有极端/模糊倾向,受同伴影响,社区资源贫乏；社区犯罪频发；社区资源丰富且治安好,经常逃学；长期旷课；辍学,按课表开展,接触色情内容；接触黑灰产信息；接触诈骗信息,参与/发起网络欺凌；接触不良社交圈；线上交往健康,偶尔冲动消费,2,1,3,2,1,1,3,1,4,2,3,3,1,1,4,1
Q106,12,12-14岁,普通学生（略需关注),存在一定风险因素，建议学校与家长加强日常关注,监护薄弱；父母失业；单亲,忽视型教养；暴力型教养；权威型(合理),受同伴影响；价值观模糊；偶有极端/模糊倾向,结交不良同伴；加入不良群体；受同伴影响,社区资源贫乏,经常逃学,偶尔宣传；深度参与/法治活动活跃,接触诈骗信息；主要接触正面/学习资源；接触暴力/血腥内容,线上交往健康,存在欠债；被诈骗；偶尔冲动消费,1,3,1,1,1,2,1,2,4,2,3,1,1,2,3,2
Q107,14,14-16岁,重点关注对象,风险与保护因素并存，建议制定个性化干预方案,父母失业；单亲；监护薄弱,权威型(合理)；暴力型教养；传统型(强调规则),敌意价值观,加入不良群体；偶有接触；无不良同伴,高风险社区；社区一般,辍学,按课表开展；无法治教育,主要接触正面/学习资源,线上交往健康；被网络欺凌/受害,无欠债,4,2,4,2,2,4,3,4,1,2,4,2,4,3,3,2
Q108,13,12-14岁,普通学生（略需关注),存在一定风险因素，建议学校与家长加强日常关注,单亲；监护薄弱,暴力型教养；忽视型教养,敌意价值观；无极端倾向；价值观模糊,无不良同伴；偶有接触；加入不良群体,社区资源贫乏,探索个性化学习；偶尔缺课；经常逃学,按课表开展；无法治教育,接触黑灰产信息,被网络欺凌/受害,理财能力良好；偶尔冲动消费,3,2,1,2,2,3,1,2,3,1,2,1,2,2,3,3
Q109,12,12-14岁,普通学生（略需关注),存在一定风险因素，建议学校与家长加强日常关注,父母失业；流动监护；留守,权威型(合理)；忽视型教养；暴力型教养,价值观模糊；偶有极端/模糊倾向；无极端倾向,偶有接触；加入不良群体,社区治安较差；社区资源贫乏；社区资源丰富且治安好,长期旷课；经常逃学,按课表开展；无法治教育,接触暴力/血腥内容；接触色情内容,线上交往健康,偶尔冲动消费；严重财务问题,2,3,1,3,1,1,2,2,3,3,3,3,3,2,2,2
Q110,13,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,长期疾病；父母失联；父母常年不在,暴力型教养,无极端倾向,偶有接触；受同伴影响；无不良同伴,高风险社区；社区治安较差,辍学,深度参与/法治活动活跃,接触暴力/血腥内容；接触黑灰产信息；主要接触正面/学习资源,被网络欺凌/受害；接触不良社交圈；参与/发起网络欺凌,理财能力良好,2,1,0,1,0,0,1,2,3,1,2,0,1,2,3,2
Q111,14,14-16岁,普通学生（表现稳定),总体表现稳定，常规随访即可,长期疾病；监护人积极参与(保护）,忽视型教养；权威型(合理),价值观模糊；无极端倾向,结交不良同伴；受同伴影响；加入不良群体,社区一般,长期旷课,深度参与/法治活动活跃,接触黑灰产信息；主要接触正面/学习资源；接触暴力/血腥内容,接触不良社交圈；被网络欺凌/受害,存在欠债,1,0,1,0,0,2,0,1,3,0,1,2,1,0,4,0
