年龄,年龄段,身份定位,评估结论,监护状况,教养方式,认知类型,同伴关系,社区环境,在校表现,法治教育覆盖,内容接触,线上交往行为,财务行为,家庭沟通分,家庭冲突分,冲动易冲动程度,攻击暴力倾向,自我认同问题程度,受不良同伴影响强度,受社区影响强度,逃学旷课频次,法治教育学习效果,上网时间问题程度,深夜上网问题程度,接触有害内容频次,时间管理问题程度,理财观念行为问题程度,情感支持,情绪调节困难程度
Q1,14,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,监护人积极参与(保护),传统型教养,价值观模糊,受同伴影响,社区一般；社区犯罪频发,偶尔缺课,偶尔宣传,接触黑灰产信息,接触不良社交圈,偶尔冲动消费,1,1,0,2,3,0,0,2,4,4,1,2,0,0,4
Q2,14,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,单亲；流动监护,溺爱型教养；传统型教养,敌意价值观,结交不良同伴,社区一般；高风险社区,偶尔逃学；偶尔缺课,无法治教育,接触黑灰产信息,接触不良社交圈,偶尔冲动消费,3,4,1,5,2,5,3,1,1,1,0,2,1,1,5
Q3,13,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,父母失联；事实无人抚养,传统型教养,敌意价值观,无不良同伴,社区治安较差；社区资源贫乏,偶尔缺课；偶尔缺课,无法治教育,接触暴力/血腥内容,线上交往健康,被诈骗,1,5,0,2,3,3,4,1,4,0,0,5,2,4,2
Q4,12,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,单亲；父母失联,权威型教养；溺爱型教养,偶有极端/模糊倾向,加入不良群体,社区资源丰富且治安好,偶尔逃学,无法治教育,主要接触正面/学习资源,线上交往健康,被诈骗,0,5,5,2,5,4,0,0,3,5,4,2,3,3,4
Q5,13,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,事实无人抚养；父母失联；长期疾病,溺爱型教养；传统型教养,敌意价值观,加入不良群体,社区资源贫乏；社区治安较差,偶尔逃学,无法治教育,主要接触正面/学习资源,线上交往健康,存在欠债,1,3,5,2,0,2,4,1,1,5,3,0,2,2,5
Q6,14,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,流动监护；事实无人抚养,忽视型教养,无极端倾向,受同伴影响,社区资源贫乏,偶尔逃学,无法治教育,接触诈骗信息,线上交往健康,严重财务问题,5,2,5,5,2,5,5,5,5,1,4,3,2,3,3
Q7,14,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,父母失联；长期疾病；监护人积极参与(保护),传统型教养,价值观模糊,受同伴影响,社区资源丰富且治安好；高风险社区,辍学；偶尔逃学,按课表开展,接触黑灰产信息,被网络欺凌/受害,偶尔冲动消费,4,5,1,4,3,1,2,4,2,5,3,4,5,0,2
Q8,12,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,事实无人抚养；留守,暴力型教养；传统型教养,价值观模糊,无不良同伴,社区一般；社区治安较差,偶尔逃学,按课表开展,接触色情内容,被网络欺凌/受害,偶尔冲动消费,3,3,4,5,0,5,5,1,4,3,5,4,3,1,1
Q9,13,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,单亲；长期疾病,忽视型教养；暴力型教养,价值观模糊,结交不良同伴,社区一般；社区资源丰富且治安好,偶尔逃学；探索个性化学习,无法治教育,接触诈骗信息,接触不良社交圈,偶尔冲动消费,0,0,4,1,2,4,4,5,5,3,1,4,3,2,4
Q10,13,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,父母常年不在；监护薄弱,暴力型教养,偶有极端/模糊倾向,偶有接触,高风险社区；社区资源贫乏,偶尔逃学,深度参与/法治活动活跃,接触色情内容,参与/发起网络欺凌,理财能力良好,4,2,4,5,2,4,5,3,5,5,2,0,2,2,0
