case_id,年龄,年龄段,身份定位,评估结论,监护状况,教养方式,认知类型,同伴关系,社区环境,在校表现,法治教育覆盖,内容接触,线上交往行为,财务行为,家庭沟通分,家庭冲突分,冲动易冲动程度,攻击暴力倾向,自我认同问题程度,受不良同伴影响强度,受社区影响强度,逃学旷课频次,法治教育学习效果,上网时间问题程度,深夜上网问题程度,接触有害内容频次,时间管理问题程度,理财观念行为问题程度,情感支持,情绪调节困难程度
Q0001,14,14-16岁,监护良好但有违法行为,行为偏差明显，需配合司法程序并同步提供保护性矫治,监护人积极参与(保护),溺爱型教养,敌意价值观,加入不良群体,社区资源丰富且治安好,经常逃学,按课表开展,接触游戏内容,参与/发起网络欺凌,严重财务问题,2,3,5,5,,4,0,4,0,3,5,,3,5,4,5
Q0002,13,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,父母常年不在,传统型(强调规则),无极端倾向,无不良同伴,社区资源丰富且治安好,探索个性化学习,按课表开展,接触游戏内容,线上交往健康,理财能力良好,0,0,1,0,0.0,1,0,0,4,1,0,0.0,1,0,4,1
Q0003,16,14-16岁,普通学生（表现稳定),总体表现稳定，常规随访即可,监护人积极参与(保护),传统型(强调规则),无极端倾向,无不良同伴,社区资源丰富且治安好,探索个性化学习,按课表开展,接触游戏内容,线上交往健康,理财能力良好,0,0,1,0,0.0,1,0,0,4,0,0,0.0,0,0,4,1
Q0004,13,12-14岁,重点关注对象,风险与保护因素并存，建议制定个性化干预方案,单亲,暴力型教养,无极端倾向,无不良同伴,社区治安较差,探索个性化学习,按课表开展,主要接触正面/学习资源；接触游戏内容,被网络欺凌/受害,理财能力良好,4,4,1,0,,1,4,0,4,1,0,,1,0,1,1
Q0005,13,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,监护人积极参与(保护),权威型(合理),无极端倾向,无不良同伴,社区资源丰富且治安好,探索个性化学习,按课表开展,主要接触正面/学习资源,线上交往健康,理财能力良好,0,0,1,0,0.0,1,0,0,4,0,0,0.0,0,0,4,1
Q0006,15,14-16岁,普通学生（表现稳定),总体表现稳定，常规随访即可,监护人积极参与(保护),传统型(强调规则),无极端倾向,无不良同伴,社区资源丰富且治安好,探索个性化学习,按课表开展,接触游戏内容,线上交往健康,理财能力良好,0,0,1,0,3.0,1,0,0,4,0,0,0.0,0,0,4,1
Q0007,15,14-16岁,普通学生（表现稳定),总体表现稳定，常规随访即可,监护人积极参与(保护),权威型(合理),无极端倾向,无不良同伴,社区资源丰富且治安好,探索个性化学习,按课表开展,主要接触正面/学习资源,线上交往健康,理财能力良好,0,1,1,0,1.0,1,0,0,4,0,0,0.0,0,0,4,1
Q0008,15,14-16岁,监护良好但有违法行为,行为偏差明显，需配合司法程序并同步提供保护性矫治,监护人积极参与(保护),溺爱型教养,敌意价值观,加入不良群体,社区资源丰富且治安好,经常逃学,按课表开展,接触游戏内容,参与/发起网络欺凌,严重财务问题,2,3,5,5,,4,0,4,0,4,5,,4,5,4,5
Q0009,13,12-14岁,重点关注对象,风险与保护因素并存，建议制定个性化干预方案,单亲；父母失业,忽视型教养,无极端倾向,无不良同伴,社区治安较差,探索个性化学习,按课表开展,接触游戏内容,线上交往健康,理财能力良好,4,4,1,0,,1,4,0,4,1,0,,1,0,1,1
Q0010,16,14-16岁,普通学生（表现稳定),总体表现稳定，常规随访即可,单亲,传统型(强调规则),无极端倾向,无不良同伴,社区资源丰富且治安好,探索个性化学习,按课表开展,主要接触正面/学习资源；接触诈骗信息,线上交往健康,理财能力良好,0,0,1,0,0.0,1,0,0,4,0,0,0.0,0,0,4,1
