case_id,年龄,年龄段,身份定位,评估结论,监护状况,教养方式,认知类型,同伴关系,社区环境,在校表现,法治教育覆盖,内容接触,线上交往行为,财务行为,家庭沟通分,家庭冲突分,冲动易冲动程度,攻击暴力倾向,自我认同问题程度,受不良同伴影响强度,受社区影响强度,逃学旷课频次,法治教育学习效果,上网时间问题程度,深夜上网问题程度,接触有害内容频次,时间管理问题程度,理财观念行为问题程度,情感支持,情绪调节困难程度
Q0001,14,12-14岁,普通学生（表现稳定）,总体表现稳定，常规随访即可,监护薄弱,忽视型教养,价值观模糊；偶有极端/模糊倾向,偶有接触,社区一般,偶尔逃课/逃学；辍学,无法治教育；深度参与/法治活动活跃,接触诈骗信息,被网络欺凌/受害,严重财务问题；存在欠债,0,0,1,1,0,1,0,0,5,1,0,2,1,0,5,0
Q0002,13,12-14岁,普通学生（略需关注）,存在一定风险因素，建议学校与家长加强日常关注,单亲；流动监护,溺爱型教养,受同伴影响；敌意价值观,加入不良群体；结交不良同伴,社区资源贫乏,,深度参与/法治活动活跃,主要接触正面/学习资源,线上交往健康,严重财务问题；被诈骗,1,1,3,1,1,3,1,2,3,1,0,3,1,3,4,1
Q0003,14,12-14岁,普通学生（表现稳定）,总体表现稳定，常规随访即可,监护薄弱,传统型(强调规则)；暴力型教养,偶有极端/模糊倾向；无极端倾向,加入不良群体,社区资源贫乏,偶尔缺课,偶尔宣传,接触诈骗信息,参与/发起网络欺凌,严重财务问题；存在欠债,2,2,1,1,2,0,0,0,4,0,1,0,2,1,3,1
Q0004,14,12-14岁,普通学生（略需关注）,存在一定风险因素，建议学校与家长加强日常关注,监护人积极参与(保护),传统型(强调规则)；权威型(合理),,加入不良群体,社区资源贫乏,偶尔逃课/逃学；长期旷课,按课表开展；无法治教育,接触黑灰产信息,接触不良社交圈,理财能力良好,3,3,4,3,3,5,5,2,5,3,2,5,3,5,4,2
Q0005,12,12-14岁,高风险需干预,已出现高风险行为，建议启动多部门联合干预,父母失联；监护人积极参与(保护),传统型(强调规则)；暴力型教养,敌意价值观,无不良同伴,社区资源贫乏,,按课表开展；深度参与/法治活动活跃,接触诈骗信息,接触不良社交圈；线上交往健康,无欠债；理财能力良好,5,4,4,5,4,5,5,5,0,4,4,5,5,3,1,4
Q0006,14,12-14岁,普通学生（略需关注）,存在一定风险因素，建议学校与家长加强日常关注,父母常年不在；监护人积极参与(保护),,受同伴影响,偶有接触,社区治安较差,长期旷课,偶尔宣传；深度参与/法治活动活跃,接触色情内容,接触不良社交圈,无欠债,3,4,4,4,4,4,4,5,4,4,2,5,3,4,5,4
Q0007,14,12-14岁,重点关注对象,风险与保护因素并存，建议制定个性化干预方案,流动监护,溺爱型教养,,受同伴影响,社区犯罪频发；高风险社区,辍学,按课表开展；无法治教育,主要接触正面/学习资源；接触黑灰产信息,参与/发起网络欺凌,存在欠债,4,2,3,1,4,3,3,2,1,4,2,3,2,3,1,3
Q0008,13,12-14岁,监护良好但有违法行为,行为偏差明显，需配合司法程序并同步提供保护性矫治,,忽视型教养,价值观模糊,加入不良群体；受同伴影响,社区资源丰富且治安好；社区资源贫乏,辍学；长期旷课,,接触暴力/血腥内容；接触色情内容,参与/发起网络欺凌；接触不良社交圈,存在欠债,1,2,1,2,2,0,0,0,3,0,0,0,2,2,4,0
Q0009,14,12-14岁,普通学生（略需关注）,存在一定风险因素，建议学校与家长加强日常关注,监护人积极参与(保护),传统型(强调规则),偶有极端/模糊倾向,受同伴影响,社区资源丰富且治安好,偶尔逃课/逃学,,接触黑灰产信息,参与/发起网络欺凌；被网络欺凌/受害,理财能力良好,2,1,3,1,1,1,3,1,4,1,0,2,2,2,4,3
Q0010,13,12-14岁,普通学生（略需关注）,存在一定风险因素，建议学校与家长加强日常关注,流动监护,传统型(强调规则)；暴力型教养,受同伴影响,,社区一般；社区资源贫乏,偶尔缺课；长期旷课,偶尔宣传,接触黑灰产信息,线上交往健康；被网络欺凌/受害,严重财务问题；偶尔冲动消费,3,3,5,4,5,5,3,3,5,3,3,5,4,5,3,3
