年龄,年龄段,身份定位,评估结论,监护状况,教养方式,认知类型,同伴关系,社区环境,在校表现,法治教育覆盖,内容接触,线上交往行为,财务行为,家庭沟通分,家庭冲突分,冲动易冲动程度,攻击暴力倾向,自我认同问题程度,受不良同伴影响强度,受社区影响强度,逃学旷课频次,法治教育学习效果,上网时间问题程度,深夜上网问题程度,接触有害内容频次,时间管理问题程度,理财观念行为问题程度,情感支持,情绪调节困难程度
Q0001,12,12-14岁,重点关注对象,风险值偏高但可控，需重点关注,留守；单亲,传统型教养；忽视型教养,价值观模糊；偶有极端/模糊倾向；受同伴影响,加入不良群体；结交不良同伴；无不良同伴,社区一般,辍学,深度参与/法治活动活跃；按课表开展；无法治教育,接触黑灰产信息；接触色情内容,接触不良社交圈；线上交往健康；参与/发起网络欺凌,理财能力良好,4,3,4,4,4,4,4,4,4,3,3,4,4,4,4
Q0002,14,12-14岁,重点关注对象,风险值偏高但可控，需重点关注,留守；流动监护；监护薄弱,暴力型教养,无极端倾向；受同伴影响；敌意价值观,偶有接触,高风险社区；社区一般,偶尔缺课,偶尔宣传；无法治教育,接触黑灰产信息；接触诈骗信息；接触色情内容,参与/发起网络欺凌,存在欠债；被诈骗；理财能力良好,4,3,3,3,4,4,3,3,4,4,4,4,4,3,4
Q0003,12,12-14岁,重点关注对象,风险值偏高但可控，需重点关注,长期疾病；留守；监护人积极参与(保护),传统型教养；暴力型教养,价值观模糊；无极端倾向；受同伴影响,结交不良同伴；加入不良群体,社区资源贫乏,辍学,无法治教育；深度参与/法治活动活跃；偶尔宣传,接触色情内容；主要接触正面/学习资源,参与/发起网络欺凌,存在欠债；理财能力良好；被诈骗,3,4,3,3,4,3,3,3,4,4,4,3,3,4,3
Q0004,13,12-14岁,重点关注对象,风险值偏高但可控，需重点关注,流动监护；长期疾病；单亲,权威型教养；忽视型教养,受同伴影响,加入不良群体,社区资源丰富且治安好,长期旷课；探索个性化学习,偶尔宣传,接触诈骗信息；接触暴力/血腥内容,接触不良社交圈,存在欠债；严重财务问题,3,4,4,4,3,3,4,3,4,3,4,4,3,3,3
Q0005,13,12-14岁,重点关注对象,风险值偏高但可控，需重点关注,监护薄弱；监护人积极参与(保护)；长期疾病,溺爱型教养；暴力型教养,无极端倾向；偶有极端/模糊倾向,偶有接触,社区犯罪频发；高风险社区,长期旷课；辍学；偶尔逃学/逃学,按课表开展,接触黑灰产信息；主要接触正面/学习资源；接触诈骗信息,线上交往健康；接触不良社交圈,被诈骗；严重财务问题；理财能力良好,4,3,3,4,3,3,4,3,3,4,4,3,4,3,3
Q0006,12,12-14岁,重点关注对象,风险值偏高但可控，需重点关注,长期疾病,权威型教养；暴力型教养；忽视型教养,敌意价值观；偶有极端/模糊倾向,加入不良群体；无不良同伴；偶有接触,社区资源贫乏；社区一般；社区犯罪频发,长期旷课；经常逃学；偶尔逃学/逃学,深度参与/法治活动活跃；按课表开展；偶尔宣传,接触黑灰产信息；接触色情内容,接触不良社交圈,存在欠债；被诈骗,3,4,4,3,3,3,3,3,3,3,4,4,4,4,4
Q0007,12,12-14岁,重点关注对象,风险值偏高但可控，需重点关注,留守；监护人积极参与(保护),暴力型教养；传统型教养；忽视型教养,价值观模糊；偶有极端/模糊倾向,受同伴影响；结交不良同伴,社区资源贫乏；社区犯罪频发,长期旷课；经常逃学,无法治教育,接触黑灰产信息；主要接触正面/学习资源,参与/发起网络欺凌；被网络欺凌/受害；接触不良社交圈,存在欠债；偶尔冲动消费；被诈骗,4,3,4,4,3,4,3,3,4,4,4,3,3,3,3
Q0008,12,12-14岁,重点关注对象,风险值偏高但可控，需重点关注,事实无人抚养；父母失业；留守,溺爱型教养；忽视型教养；传统型教养,无极端倾向；敌意价值观,受同伴影响,社区犯罪频发,辍学；经常逃学；偶尔缺课,深度参与/法治活动活跃,接触色情内容,接触不良社交圈；被网络欺凌/受害；参与/发起网络欺凌,严重财务问题；偶尔冲动消费；被诈骗,3,4,3,3,3,4,4,3,3,3,3,3,3,4,4
Q0009,14,12-14岁,重点关注对象,风险值偏高但可控，需重点关注,长期疾病；流动监护；父母常年不在,忽视型教养；暴力型教养；权威型教养,敌意价值观；受同伴影响,无不良同伴,社区治安较差；社区资源贫乏；社区资源丰富且治安好,辍学,无法治教育,接触诈骗信息；接触黑灰产信息,接触不良社交圈；线上交往健康,理财能力良好；存在欠债；被诈骗,3,3,4,3,3,3,4,3,3,4,3,3,3,4,4
Q0010,14,12-14岁,重点关注对象,风险值偏高但可控，需重点关注,长期疾病；单亲,忽视型教养；溺爱型教养,偶有极端/模糊倾向；价值观模糊；受同伴影响,受同伴影响,社区资源丰富且治安好；社区资源贫乏,辍学；偶尔缺课,偶尔宣传；深度参与/法治活动活跃；按课表开展,接触黑灰产信息；接触色情内容；主要接触正面/学习资源,参与/发起网络欺凌；接触不良社交圈,严重财务问题；偶尔冲动消费,3,4,3,3,4,4,4,4,4,3,4,4,3,4,4
