case_id,年龄,年龄段,身份定位,评估结论,监护状况,教养方式,认知类型,同伴关系,社区环境,在校表现,法治教育覆盖,内容接触,线上交往行为,财务行为,家庭沟通分,家庭冲突分,冲动易冲动程度,攻击暴力倾向,自我认同问题程度,受不良同伴影响强度,受社区影响强度,逃学旷课频次,法治教育学习效果,上网时间问题程度,深夜上网问题程度,接触有害内容频次,时间管理问题程度,理财观念行为问题程度,情感支持,情绪调节困难程度
NaN,Q001,12,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,长期疾病,传统型教养,价值观模糊；受同伴影响；偶有极端/模糊倾向,偶有接触,社区犯罪频发；社区资源贫乏；社区治安较差,长期旷课；偶尔缺课,深度参与/法治活动活跃,接触诈骗信息；接触色情内容；主要接触正面/学习资源,参与/发起网络欺凌,理财能力良好；偶尔冲动消费；严重财务问题,1,0,2,2,0,1,1,2,1,2,0,1,2,1,0
NaN,Q002,13,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,监护薄弱,溺爱型教养；传统型教养,无极端倾向；偶有极端/模糊倾向；受同伴影响,受同伴影响；无不良同伴,社区犯罪频发；社区一般；高风险社区,偶尔缺课；辍学,深度参与/法治活动活跃,接触诈骗信息；接触暴力/血腥内容；接触色情内容,被网络欺凌/受害,存在欠债；被诈骗；理财能力良好,1,1,2,0,0,2,1,1,1,1,1,0,0,2,0
NaN,Q003,14,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,监护薄弱；事实无人抚养,忽视型教养；传统型教养,偶有极端/模糊倾向,无不良同伴；偶有接触,社区一般,辍学；偶尔缺课；长期旷课,深度参与/法治活动活跃；偶尔宣传；按课表开展,主要接触正面/学习资源,被网络欺凌/受害；接触不良社交圈,理财能力良好；存在欠债,1,2,1,1,0,0,2,1,2,1,2,0,2,0,1
NaN,Q004,13,12-14岁,重点关注对象,风险与保护因素并存，建议制定个性化干预方案,事实无人抚养,传统型教养,无极端倾向；受同伴影响；偶有极端/模糊倾向,加入不良群体；偶有接触,社区治安较差,探索个性化学习；辍学；偶尔缺课,深度参与/法治活动活跃；偶尔宣传,接触诈骗信息；接触色情内容,被网络欺凌/受害；接触不良社交圈；参与/发起网络欺凌,理财能力良好,4,3,2,2,4,4,2,2,2,2,4,3,4,2,4
NaN,Q005,12,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,流动监护,权威型教养；暴力型教养,价值观模糊,受同伴影响；偶有接触,社区资源丰富且治安好；社区犯罪频发,经常逃学；偶尔逃学/逃学,深度参与/法治活动活跃；按课表开展,接触诈骗信息；主要接触正面/学习资源；接触黑灰产信息,线上交往健康,被诈骗；理财能力良好；严重财务问题,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1
NaN,Q006,14,12-14岁,重点关注对象,风险与保护因素并存，建议制定个性化干预方案,长期疾病；父母常年不在,暴力型教养,价值观模糊,加入不良群体；受同伴影响,社区资源丰富且治安好；社区一般,偶尔缺课；经常逃学,深度参与/法治活动活跃；无法治教育；偶尔宣传,接触诈骗信息；主要接触正面/学习资源；接触色情内容,线上交往健康；接触不良社交圈；参与/发起网络欺凌,理财能力良好；存在欠债；被诈骗,3,4,3,4,3,4,3,3,4,2,4,2,3,2,4
NaN,Q007,14,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,父母常年不在,权威型教养；传统型教养,价值观模糊；受同伴影响；无极端倾向,结交不良同伴,社区资源丰富且治安好；社区犯罪频发,长期旷课；偶尔逃学/逃学；探索个性化学习,无法治教育,接触黑灰产信息；接触诈骗信息,线上交往健康；被网络欺凌/受害；接触不良社交圈,存在欠债,1,2,2,1,1,1,1,1,0,0,2,1,0,1,1
NaN,Q008,14,12-14岁,普通学生（略需关注),存在一定风险因素，建议学校与家长加强日常关注,监护人积极参与(保护),传统型教养；权威型教养,受同伴影响,加入不良群体；无不良同伴；结交不良同伴,社区资源丰富且治安好；社区治安较差,偶尔逃学/逃学；辍学；长期旷课,无法治教育；偶尔宣传；按课表开展,接触诈骗信息；接触黑灰产信息,接触不良社交圈,偶尔冲动消费；存在欠债,3,3,3,2,3,1,2,3,3,3,3,3,1,1,1
NaN,Q009,13,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,留守,权威型教养；溺爱型教养,偶有极端/模糊倾向；受同伴影响；无极端倾向,受同伴影响；无不良同伴；结交不良同伴,社区资源丰富且治安好；社区治安较差,探索个性化学习,无法治教育；按课表开展；深度参与/法治活动活跃,接触暴力/血腥内容；主要接触正面/学习资源；接触诈骗信息,线上交往健康；被网络欺凌/受害；接触不良社交圈,被诈骗；偶尔冲动消费,0,2,0,1,2,1,2,0,0,1,1,2,0,2,1
NaN,Q010,13,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,单亲；长期疾病,溺爱型教养；传统型教养；权威型教养,受同伴影响,加入不良群体；偶有接触；无不良同伴,高风险社区；社区犯罪频发；社区资源贫乏,偶尔缺课；长期旷课；探索个性化学习,深度参与/法治活动活跃；无法治教育,接触色情内容,被网络欺凌/受害；接触不良社交圈,偶尔冲动消费；存在欠债,1,2,0,1,2,0,0,0,2,1,0,0,0,2,2
